
2017--11-04 11:42:42{"error_code":0,"reason":"Succes","result":{"bankname":"\u4e2d\u4fe1\u94f6\u884c","banknum":"63020000","cardprefixnum":"403393","cardname":"\u4e2d\u4fe1\u8d37\u8bb0\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"","enbankname":"","abbreviation":"ZXYXXYKZX","bankimage":"http:\/\/auth.apis.la\/bank\/407_ZXYXXYKZX.png","servicephone":""}}
2017--11-04 11:43:30{"error_code":0,"reason":"Succes","result":{"bankname":"\u5e73\u5b89\u94f6\u884c\u80a1\u4efd\u6709\u9650\u516c\u53f8","banknum":"5105840","cardprefixnum":"622155","cardname":"\u5e73\u5b89\u94f6\u884c\u4fe1\u7528\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":false,"iscreditcard":2,"bankurl":"http:\/\/bank.pingan.com\/index.shtml","enbankname":"PingAn Bank","abbreviation":"SPABANK","bankimage":"http:\/\/auth.apis.la\/bank\/14_SPABANK.png","servicephone":"95511"}}
2017--11-04 11:43:47{"error_code":0,"reason":"Succes","result":{"bankname":"\u5e73\u5b89\u94f6\u884c\u80a1\u4efd\u6709\u9650\u516c\u53f8","banknum":"5105840","cardprefixnum":"622155","cardname":"\u5e73\u5b89\u94f6\u884c\u4fe1\u7528\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/bank.pingan.com\/index.shtml","enbankname":"PingAn Bank","abbreviation":"SPABANK","bankimage":"http:\/\/auth.apis.la\/bank\/14_SPABANK.png","servicephone":"95511"}}
2017--11-04 11:47:17{"error_code":0,"reason":"Succes","result":{"bankname":"\u534e\u590f\u94f6\u884c","banknum":"63040000","cardprefixnum":"625969","cardname":"\u534e\u590f\u6807\u51c6\u91d1\u878dIC\u4fe1\u7528\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/www.hxb.com.cn\/","enbankname":"Huaxia Bank","abbreviation":"HXBANK","bankimage":"http:\/\/auth.apis.la\/bank\/13_HXBANK.png","servicephone":"95577"}}
2017--11-04 13:37:10{"error_code":0,"reason":"Succes","result":{"bankname":"\u4e2d\u56fd\u5efa\u8bbe\u94f6\u884c","banknum":"1050000","cardprefixnum":"622700","cardname":"\u9f99\u5361\u50a8\u84c4\u5361(\u94f6\u8054\u5361)","cardtype":"\u94f6\u8054\u501f\u8bb0\u5361","cardprefixlength":"6","cardlength":"19","isLuhn":true,"iscreditcard":1,"bankurl":"http:\/\/www.ccb.com\/","enbankname":"China Construction Bank","abbreviation":"CCB","bankimage":"http:\/\/auth.apis.la\/bank\/2_CCB.png","servicephone":"95533"}}
2017--11-04 16:36:28{"error_code":0,"reason":"Succes","result":{"bankname":"\u5149\u5927\u94f6\u884c","banknum":"3030000","cardprefixnum":"621492","cardname":"IC\u501f\u8bb0\u5361\u666e\u5361","cardtype":"\u94f6\u8054\u501f\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":1,"bankurl":"http:\/\/www.cebbank.com\/","enbankname":"China Everbright Bank","abbreviation":"CEB","bankimage":"http:\/\/auth.apis.la\/bank\/8_CEB.png","servicephone":"95595"}}
2017--11-04 19:37:32{"error_code":0,"reason":"Succes","result":{"bankname":"\u519c\u4e1a\u94f6\u884c","banknum":"1030000","cardprefixnum":"622848","cardname":"\u91d1\u7a57\u901a\u5b9d\u5361(\u94f6\u8054\u5361)","cardtype":"\u94f6\u8054\u501f\u8bb0\u5361","cardprefixlength":"6","cardlength":"19","isLuhn":true,"iscreditcard":1,"bankurl":"http:\/\/www.abchina.com\/","enbankname":"Agricultural Bank of China","abbreviation":"ABC","bankimage":"http:\/\/auth.apis.la\/bank\/3_ABC.png","servicephone":"95599"}}
2017--11-04 19:43:15{"error_code":0,"reason":"Succes","result":{"bankname":"\u4e2d\u56fd\u5efa\u8bbe\u94f6\u884c","banknum":"1059999","cardprefixnum":"622168","cardname":"\u9f99\u5361\u4eba\u6c11\u5e01\u4fe1\u7528\u91d1\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/www.ccb.com\/","enbankname":"China Construction Bank","abbreviation":"CCB","bankimage":"http:\/\/auth.apis.la\/bank\/2_CCB.png","servicephone":"95533"}}
2017--11-04 19:43:42{"error_code":0,"reason":"Succes","result":{"bankname":"\u4e2d\u56fd\u5efa\u8bbe\u94f6\u884c","banknum":"1059999","cardprefixnum":"622168","cardname":"\u9f99\u5361\u4eba\u6c11\u5e01\u4fe1\u7528\u91d1\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/www.ccb.com\/","enbankname":"China Construction Bank","abbreviation":"CCB","bankimage":"http:\/\/auth.apis.la\/bank\/2_CCB.png","servicephone":"95533"}}
2017--11-04 21:29:01{"error_code":0,"reason":"Succes","result":{"bankname":"\u5e73\u5b89\u94f6\u884c\u80a1\u4efd\u6709\u9650\u516c\u53f8","banknum":"5105840","cardprefixnum":"622155","cardname":"\u5e73\u5b89\u94f6\u884c\u4fe1\u7528\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/bank.pingan.com\/index.shtml","enbankname":"PingAn Bank","abbreviation":"SPABANK","bankimage":"http:\/\/auth.apis.la\/bank\/14_SPABANK.png","servicephone":"95511"}}
2017--11-04 21:29:03{"error_code":0,"reason":"Succes","result":{"bankname":"\u5e73\u5b89\u94f6\u884c\u80a1\u4efd\u6709\u9650\u516c\u53f8","banknum":"5105840","cardprefixnum":"622155","cardname":"\u5e73\u5b89\u94f6\u884c\u4fe1\u7528\u5361","cardtype":"\u94f6\u8054\u8d37\u8bb0\u5361","cardprefixlength":"6","cardlength":"16","isLuhn":true,"iscreditcard":2,"bankurl":"http:\/\/bank.pingan.com\/index.shtml","enbankname":"PingAn Bank","abbreviation":"SPABANK","bankimage":"http:\/\/auth.apis.la\/bank\/14_SPABANK.png","servicephone":"95511"}}
